names,atom_pos,atoms,water_counts
1560,"[2.0457 1.917  9.378  2.0099 1.8245 9.3911 2.11   1.9174 9.3015 1.9747
 1.9861 9.6287 1.9953 1.9503 9.5377 2.0405 1.9496 9.6946]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1227,"[2.0231 2.1088 9.3471 1.9944 2.1983 9.3131 2.0327 2.0455 9.2702 1.9834
 2.0498 9.5979 1.9656 2.0677 9.5011 2.0758 2.0801 9.6211]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
676,"[2.038  1.8324 9.2913 2.0766 1.7431 9.3142 2.0154 1.8815 9.3754 1.9857
 2.0046 9.5447 2.0641 1.9971 9.6063 1.9132 2.0571 9.5893]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1592,"[2.017  1.8841 9.5806 1.9932 1.9691 9.6276 2.013  1.8984 9.4817 1.9976
 1.895  9.3025 2.0247 1.82   9.2423 1.9751 1.9755 9.2475]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
2000,"[2.0013 1.9836 9.5962 2.0571 2.0571 9.6349 2.0222 1.8978 9.643  1.9528
 1.9848 9.3089 1.9733 1.9762 9.4064 1.8612 1.9492 9.2908]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
479,"[1.9865 2.0023 9.6326 1.9473 1.9845 9.5423 1.9941 1.9163 9.6831 1.9801
 1.8895 9.2967 1.9987 1.7918 9.2863 1.8916 1.9111 9.2556]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
32,"[1.9957 2.0411 9.3942 1.9793 1.9452 9.371  1.9408 2.0997 9.3346 1.9951
 2.0173 9.6714 1.9007 2.0077 9.7032 1.9987 2.0015 9.5727]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1177,"[2.0272 1.9697 9.5958 2.0527 2.0622 9.6241 2.0703 1.9031 9.6567 2.0368
 1.9134 9.3437 2.0374 1.9262 9.4429 2.1309 1.9079 9.3103]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1802,"[1.9842 2.0013 9.6178 1.8938 1.963  9.6368 2.0545 1.9341 9.6413 2.0347
 1.9995 9.3164 2.0248 2.021  9.4136 1.9453 2.0049 9.2719]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
86,"[2.0107 1.9136 9.6731 2.0977 1.8993 9.7202 1.9626 1.8263 9.6647 2.0447
 1.9725 9.3815 2.0317 1.9755 9.4806 2.0303 2.0637 9.3433]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
525,"[1.943  1.9634 9.5843 1.8455 1.9638 9.6066 1.9909 1.9002 9.6453 2.0499
 2.1057 9.3659 2.0167 2.0388 9.4323 2.0996 2.1782 9.4136]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1566,"[1.9832 2.0264 9.5906 2.012  1.9869 9.5034 1.8833 2.0309 9.5938 2.031
 1.9024 9.3331 1.9866 1.9241 9.2461 2.1249 1.8726 9.3161]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
